X,Y,OBJECTID,RARNUM,BIOGWIS_RA,SPECIES_ID,SEASON_ID,EL_RAR,EL_SPE,EL_SPE_SEA,GEO_SRC,SEASON_SRC,CONCENTRA,ELEMENT,SUBELEMENT,NAME,SCINAME,STATUS,PRESENCE,ACTIVE_JAN,ACTIVE_FEB,ACTIVE_MAR,ACTIVE_APR,ACTIVE_MAY,ACTIVE_JUN,ACTIVE_JUL,ACTIVE_AUG,ACTIVE_SEP,ACTIVE_OCT,ACTIVE_NOV,ACTIVE_DEC,ESI_INFO,created_user,created_date,last_edited_user,last_edited_date
-80.7832507,24.93924198,4147,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.76533252,24.92072808,4148,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.75799349,25.03135909,4149,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.72603538,25.09140372,4150,492,492,1004,2,BIRD_492,B01004,B0100402,69,37,HIGH,BIRD,wading,Wading birds, , ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , ,Nesting,Wading birds; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-82.28330321,26.86670489,4151,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.26670321,26.85000489,4152,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.2333032,26.83330488,4153,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.21670319,26.81670488,4154,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.16670318,26.86670489,4155,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.16670317,26.4833048,4156,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.11670317,26.96670492,4157,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.08330315,26.55000482,4158,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.04130013,26.5831508,4159,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.03330314,26.75000487,4160,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-82.01670313,26.78330488,4161,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-81.9333031,26.53330482,4162,462,462,76,1,BIRD_462,B00076,B0007601,33,37, ,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , , , ,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration:,,,,
-80.92234274,25.09872577,4163,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.91205534,25.10382029,4164,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.90873434,25.1336065,4165,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
